sampleId	celltype	cell Type Description	cell_lineage	tissue	treatment	immunophenotype	species	strain	sampleCode	RNA.Id	batch	firstPublished	cellOrder
CD9Hi.1	CD9Hi	CD9Hi bipotential megakaryocyte erythroid progenitors	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):- Endoglin:lo CD9:hi	Murine	C57BL/6	CAGRF13029.1155	1155	CAGRF13029		10
CD9Hi.2	CD9Hi	CD9Hi bipotential megakaryocyte erythroid progenitors	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):- Endoglin:lo CD9:hi	Murine	C57BL/6	CAGRF13029.1230	1230	CAGRF13029		10
BEMP.1	BEMP	Bipotential Erythroid Megakaryocyte Progenitors (BEMP)	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):- Endoglin:lo CD9:lo	Murine	C57BL/6	CAGRF13029.1216	1216	CAGRF13029		11
BEMP.2	BEMP	Bipotential Erythroid Megakaryocyte Progenitors (BEMP)	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):- Endoglin:lo CD9:lo	Murine	C57BL/6	CAGRF13029.1228	1228	CAGRF13029		11
CLP.1	CLP	Common Lymphoid Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:Lo Sca1:Lo CD127rec:Lo CD135(Flt3):+	Murine	C57BL/6	CAGRF9188.1073_1074_1406_1407	1073_1074_1406_1407	CAGRF9188		12
CLP.2	CLP	Common Lymphoid Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:Lo Sca1:Lo CD127rec:Lo CD135(Flt3):+	Murine	C57BL/6	CAGRF9188.1437	1437	CAGRF9188		12
NveCD4T.1	NveCD4T	CD4 Naive T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:+ CD44:-	Murine	C57BL/6	CAGRF11700.1519	1519	CAGRF11700	Marsman et al, 2018; 29870118	1
NveCD4T.2	NveCD4T	CD4 Naive T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:+ CD44:-	Murine	C57BL/6	CAGRF11700.1520	1520	CAGRF11700	Marsman et al, 2018; 29870118	1
NveCd8T.1	NveCd8T	CD8+ Naive T Cell	T Cell Lineage	Spleen & LN	none	CD8:+ CD62L:+ CD44:-	Murine	C57BL/6	CAGRF11700.1532	1532	CAGRF11700	Marsman et al, 2018; 29870118	2
NveCd8T.2	NveCd8T	CD8+ Naive T Cell	T Cell Lineage	Spleen & LN	none	CD8:+ CD62L:+ CD44:-	Murine	C57BL/6	CAGRF11700.1533	1533	CAGRF11700	Marsman et al, 2018; 29870118	2
CD4T.1	CD4T	Total CD4+ T Cell	T Cell Lineage	LN & Spleen	none	CD8:-, CD4:+, CD3:+, NK1.1:-	Murine	C57BL/6	CAGRF7126.1273	1273	CAGRF7126		3
CD4T.2	CD4T	Total CD4+ T Cell	T Cell Lineage	LN & Spleen	none	CD8:-, CD4:+, CD3:+, NK1.1:-	Murine	C57BL/6	CAGRF7126.1274	1274	CAGRF7126		3
CD8T.1	CD8T	Total CD8+ T Cell	T Cell Lineage	LN & Spleen	none	CD8:+, CD4:-, CD3:+, NK1.1:-	Murine	C57BL/6	CAGRF7126.1267	1267	CAGRF7126		4
CD8T.2	CD8T	Total CD8+ T Cell	T Cell Lineage	LN & Spleen	none	CD8:+, CD4:-, CD3:+, NK1.1:-	Murine	C57BL/6	CAGRF7126.1269	1269	CAGRF7126		4
EffCD4T.1	EffCD4T	CD4 Effector T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:- CD44:+	Murine	C57BL/6	CAGRF11700.1517	1517	CAGRF11700		5
EffCD4T.2	EffCD4T	CD4 Effector T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:- CD44:+	Murine	C57BL/6	CAGRF11700.1518	1518	CAGRF11700		5
RegT.1	RegT	Regulatory T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:Hi	Murine	C57BL/6	CAGRF11700.1522	1522	CAGRF11700		6
RegT.2	RegT	Regulatory T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:Hi	Murine	C57BL/6	CAGRF11700.1539	1539	CAGRF11700		6
MemCD4T.1	MemCD4T	CD4 Memory T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:Lo CD44:+	Murine	C57BL/6	CAGRF11700.1516	1516	CAGRF11700		7
MemCD4T.2	MemCD4T	CD4 Memory T Cell	T Cell Lineage	Spleen & LN	none	CD4:+ CD25:- CD62L:Lo CD44:+	Murine	C57BL/6	CAGRF11700.1540	1540	CAGRF11700		7
MemCD8T.1	MemCD8T	CD8+ Memory T Cell	T Cell Lineage	Spleen & LN	none	CD8:+ CD62L:+ CD44:+	Murine	C57BL/6	CAGRF11700.1530	1530	CAGRF11700		8
MemCD8T.2	MemCD8T	CD8+ Memory T Cell	T Cell Lineage	Spleen & LN	none	CD8:+ CD62L:+ CD44:+	Murine	C57BL/6	CAGRF11700.1541	1541	CAGRF11700		8
